Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scoring Individu - DS,,,,2022-11-22 17:12:37,2022-11-22 17:49:09,36m - 31.237s,FAILED
,,,,,,,
Test Cases/Engine_Scoring/Engine Scoring,,,,2022-11-22 17:12:38,2022-11-22 17:12:45,7.780s,PASSED
"markPassed(""Variasi data ke : "" + no)",,,,2022-11-22 17:12:39,2022-11-22 17:12:39,0.013s,PASSED
"req_data = sendRequest(findTestObject(""Search_ME"", [""MID"":MID, ""source"":source, ""ip"":ip, ""userid"":userid, ""branch"":branch, ""tipekons"":tipekons, ""marital"":marital, ""penjamin"":penjamin, ... ]))",,data ME for scoring request,,2022-11-22 17:12:39,2022-11-22 17:12:42,3.184s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-11-22 17:12:42,2022-11-22 17:12:42,0.006s,PASSED
result = slurper.parseText(req_data.getResponseBodyContent()),,,,2022-11-22 17:12:42,2022-11-22 17:12:42,0.019s,PASSED
reqid_kons = requestid1,,,,2022-11-22 17:12:42,2022-11-22 17:12:42,0.000s,PASSED
reqid_spouse = requestid2,,,,2022-11-22 17:12:42,2022-11-22 17:12:42,0.000s,PASSED
"println(""requestid kons : "" + reqid_kons)",,,,2022-11-22 17:12:42,2022-11-22 17:12:42,0.000s,PASSED
response_searchME_kons = reqid_kons,,store var to global variable,,2022-11-22 17:12:42,2022-11-22 17:12:42,0.000s,PASSED
response_searchME_spouse = reqid_spouse,,,,2022-11-22 17:12:42,2022-11-22 17:12:42,0.000s,PASSED
"println(""kons req id is :"" + response_searchME_kons)",,,,2022-11-22 17:12:42,2022-11-22 17:12:42,0.000s,PASSED
"println(""spouse req id is : "" + response_searchME_spouse)",,,,2022-11-22 17:12:42,2022-11-22 17:12:42,0.000s,PASSED
"verifyResponseStatusCode(req_data, 200)",,verify response status code,,2022-11-22 17:12:42,2022-11-22 17:12:42,0.019s,PASSED
response = req_data.getResponseText(),,show response to report in test suite,,2022-11-22 17:12:42,2022-11-22 17:12:42,0.000s,PASSED
logInfo($response),,,,2022-11-22 17:12:42,2022-11-22 17:12:42,0.013s,PASSED
delay(3),,,,2022-11-22 17:12:42,2022-11-22 17:12:45,3.015s,PASSED
"scoring = sendRequest(findTestObject(""EngineScore"", [""response_searchME_kons"":response_searchME_kons, ""response_searchME_spouse"":response_searchME_spouse]))",,Engine Scoring - inquiry scoring result from req_id,,2022-11-22 17:12:45,2022-11-22 17:12:45,0.110s,PASSED
"verifyResponseStatusCode(scoring, 200)",,verify response status code,,2022-11-22 17:12:45,2022-11-22 17:12:45,0.000s,PASSED
response2 = scoring.getResponseText(),,show response to report in test suite,,2022-11-22 17:12:45,2022-11-22 17:12:45,0.000s,PASSED
"markPassed(""result service data ke : "" + no)",,,,2022-11-22 17:12:45,2022-11-22 17:12:45,0.000s,PASSED
logInfo($response2),,,,2022-11-22 17:12:45,2022-11-22 17:12:45,0.000s,PASSED
"verifyElementPropertyValue(scoring, ""Final_result"", final_result)",,verify final result scoring,,2022-11-22 17:12:45,2022-11-22 17:12:45,0.018s,PASSED
,,,,,,,
Test Cases/Engine_Scoring/Engine Scoring,,,,2022-11-22 17:12:45,2022-11-22 17:12:50,4.781s,PASSED
"markPassed(""Variasi data ke : "" + no)",,,,2022-11-22 17:12:46,2022-11-22 17:12:46,0.000s,PASSED
"req_data = sendRequest(findTestObject(""Search_ME"", [""MID"":MID, ""source"":source, ""ip"":ip, ""userid"":userid, ""branch"":branch, ""tipekons"":tipekons, ""marital"":marital, ""penjamin"":penjamin, ... ]))",,data ME for scoring request,,2022-11-22 17:12:46,2022-11-22 17:12:47,0.765s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-11-22 17:12:47,2022-11-22 17:12:47,0.000s,PASSED
result = slurper.parseText(req_data.getResponseBodyContent()),,,,2022-11-22 17:12:47,2022-11-22 17:12:47,0.000s,PASSED
reqid_kons = requestid1,,,,2022-11-22 17:12:47,2022-11-22 17:12:47,0.000s,PASSED
reqid_spouse = requestid2,,,,2022-11-22 17:12:47,2022-11-22 17:12:47,0.000s,PASSED
"println(""requestid kons : "" + reqid_kons)",,,,2022-11-22 17:12:47,2022-11-22 17:12:47,0.000s,PASSED
response_searchME_kons = reqid_kons,,store var to global variable,,2022-11-22 17:12:47,2022-11-22 17:12:47,0.000s,PASSED
response_searchME_spouse = reqid_spouse,,,,2022-11-22 17:12:47,2022-11-22 17:12:47,0.000s,PASSED
"println(""kons req id is :"" + response_searchME_kons)",,,,2022-11-22 17:12:47,2022-11-22 17:12:47,0.000s,PASSED
