Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scoring Married - CS New,,,,2022-11-28 15:50:54,2022-11-28 15:55:02,4m - 7.429s,PASSED
,,,,,,,
Test Cases/Engine_Scoring/Engine Scoring,,,,2022-11-28 15:50:55,2022-11-28 15:51:03,8.184s,PASSED
"markPassed(""Variasi data ke : "" + no)",,,,2022-11-28 15:50:56,2022-11-28 15:50:56,0.012s,PASSED
"req_data = sendRequest(findTestObject(""Search_ME"", [""MID"":MID, ""source"":source, ""ip"":ip, ""userid"":userid, ""branch"":branch, ""tipekons"":tipekons, ""marital"":marital, ""penjamin"":penjamin, ... ]))",,data ME for scoring request,,2022-11-28 15:50:56,2022-11-28 15:50:58,1.536s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-11-28 15:50:58,2022-11-28 15:50:58,0.004s,PASSED
result = slurper.parseText(req_data.getResponseBodyContent()),,,,2022-11-28 15:50:58,2022-11-28 15:50:58,0.000s,PASSED
reqid_kons = requestid1,,,,2022-11-28 15:50:58,2022-11-28 15:50:58,0.016s,PASSED
reqid_spouse = requestid2,,,,2022-11-28 15:50:58,2022-11-28 15:50:58,0.000s,PASSED
"println(""requestid kons : "" + reqid_kons)",,,,2022-11-28 15:50:58,2022-11-28 15:50:58,0.003s,PASSED
response_searchME_kons = reqid_kons,,store var to global variable,,2022-11-28 15:50:58,2022-11-28 15:50:58,0.000s,PASSED
response_searchME_spouse = reqid_spouse,,,,2022-11-28 15:50:58,2022-11-28 15:50:58,0.000s,PASSED
"println(""kons req id is :"" + response_searchME_kons)",,,,2022-11-28 15:50:58,2022-11-28 15:50:58,0.000s,PASSED
"println(""spouse req id is : "" + response_searchME_spouse)",,,,2022-11-28 15:50:58,2022-11-28 15:50:58,0.000s,PASSED
"verifyResponseStatusCode(req_data, 200)",,verify response status code,,2022-11-28 15:50:58,2022-11-28 15:50:58,0.000s,PASSED
response = req_data.getResponseText(),,show response to report in test suite,,2022-11-28 15:50:58,2022-11-28 15:50:58,0.000s,PASSED
logInfo($response),,,,2022-11-28 15:50:58,2022-11-28 15:50:58,0.037s,PASSED
delay(5),,,,2022-11-28 15:50:58,2022-11-28 15:51:03,5.029s,PASSED
"scoring = sendRequest(findTestObject(""EngineScore"", [""response_searchME_kons"":response_searchME_kons, ""response_searchME_spouse"":response_searchME_spouse]))",,Engine Scoring - inquiry scoring result from req_id,,2022-11-28 15:51:03,2022-11-28 15:51:03,0.108s,PASSED
"verifyResponseStatusCode(scoring, 200)",,verify response status code,,2022-11-28 15:51:03,2022-11-28 15:51:03,0.000s,PASSED
response2 = scoring.getResponseText(),,show response to report in test suite,,2022-11-28 15:51:03,2022-11-28 15:51:03,0.000s,PASSED
"markPassed(""result service data ke : "" + no)",,,,2022-11-28 15:51:03,2022-11-28 15:51:03,0.000s,PASSED
logInfo($response2),,,,2022-11-28 15:51:03,2022-11-28 15:51:03,0.000s,PASSED
"verifyElementPropertyValue(scoring, ""Final_result"", final_result)",,verify final result scoring,,2022-11-28 15:51:03,2022-11-28 15:51:03,0.020s,PASSED
,,,,,,,
Test Cases/Engine_Scoring/Engine Scoring,,,,2022-11-28 15:51:03,2022-11-28 15:51:10,6.999s,PASSED
"markPassed(""Variasi data ke : "" + no)",,,,2022-11-28 15:51:04,2022-11-28 15:51:04,0.015s,PASSED
"req_data = sendRequest(findTestObject(""Search_ME"", [""MID"":MID, ""source"":source, ""ip"":ip, ""userid"":userid, ""branch"":branch, ""tipekons"":tipekons, ""marital"":marital, ""penjamin"":penjamin, ... ]))",,data ME for scoring request,,2022-11-28 15:51:04,2022-11-28 15:51:05,0.795s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-11-28 15:51:05,2022-11-28 15:51:05,0.000s,PASSED
result = slurper.parseText(req_data.getResponseBodyContent()),,,,2022-11-28 15:51:05,2022-11-28 15:51:05,0.000s,PASSED
reqid_kons = requestid1,,,,2022-11-28 15:51:05,2022-11-28 15:51:05,0.000s,PASSED
reqid_spouse = requestid2,,,,2022-11-28 15:51:05,2022-11-28 15:51:05,0.000s,PASSED
"println(""requestid kons : "" + reqid_kons)",,,,2022-11-28 15:51:05,2022-11-28 15:51:05,0.000s,PASSED
response_searchME_kons = reqid_kons,,store var to global variable,,2022-11-28 15:51:05,2022-11-28 15:51:05,0.000s,PASSED
response_searchME_spouse = reqid_spouse,,,,2022-11-28 15:51:05,2022-11-28 15:51:05,0.000s,PASSED
"println(""kons req id is :"" + response_searchME_kons)",,,,2022-11-28 15:51:05,2022-11-28 15:51:05,0.000s,PASSED
"println(""spouse req id is : "" + response_searchME_spouse)",,,,2022-11-28 15:51:05,2022-11-28 15:51:05,0.000s,PASSED
"verifyResponseStatusCode(req_data, 200)",,verify response status code,,2022-11-28 15:51:05,2022-11-28 15:51:05,0.000s,PASSED
response = req_data.getResponseText(),,show response to report in test suite,,2022-11-28 15:51:05,2022-11-28 15:51:05,0.000s,PASSED
logInfo($response),,,,2022-11-28 15:51:05,2022-11-28 15:51:05,0.000s,PASSED
delay(5),,,,2022-11-28 15:51:05,2022-11-28 15:51:10,5.015s,PASSED
"scoring = sendRequest(findTestObject(""EngineScore"", [""response_searchME_kons"":response_searchME_kons, ""response_searchME_spouse"":response_searchME_spouse]))",,Engine Scoring - inquiry scoring result from req_id,,2022-11-28 15:51:10,2022-11-28 15:51:10,0.082s,PASSED
"verifyResponseStatusCode(scoring, 200)",,verify response status code,,2022-11-28 15:51:10,2022-11-28 15:51:10,0.000s,PASSED
response2 = scoring.getResponseText(),,show response to report in test suite,,2022-11-28 15:51:10,2022-11-28 15:51:10,0.000s,PASSED
"markPassed(""result service data ke : "" + no)",,,,2022-11-28 15:51:10,2022-11-28 15:51:10,0.000s,PASSED
logInfo($response2),,,,2022-11-28 15:51:10,2022-11-28 15:51:10,0.000s,PASSED
"verifyElementPropertyValue(scoring, ""Final_result"", final_result)",,verify final result scoring,,2022-11-28 15:51:10,2022-11-28 15:51:10,0.015s,PASSED
,,,,,,,
Test Cases/Engine_Scoring/Engine Scoring,,,,2022-11-28 15:51:10,2022-11-28 15:51:17,6.666s,PASSED
"markPassed(""Variasi data ke : "" + no)",,,,2022-11-28 15:51:11,2022-11-28 15:51:11,0.000s,PASSED
"req_data = sendRequest(findTestObject(""Search_ME"", [""MID"":MID, ""source"":source, ""ip"":ip, ""userid"":userid, ""branch"":branch, ""tipekons"":tipekons, ""marital"":marital, ""penjamin"":penjamin, ... ]))",,data ME for scoring request,,2022-11-28 15:51:11,2022-11-28 15:51:11,0.808s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-11-28 15:51:11,2022-11-28 15:51:11,0.000s,PASSED
result = slurper.parseText(req_data.getResponseBodyContent()),,,,2022-11-28 15:51:11,2022-11-28 15:51:11,0.000s,PASSED
reqid_kons = requestid1,,,,2022-11-28 15:51:11,2022-11-28 15:51:11,0.000s,PASSED
reqid_spouse = requestid2,,,,2022-11-28 15:51:11,2022-11-28 15:51:11,0.000s,PASSED
"println(""requestid kons : "" + reqid_kons)",,,,2022-11-28 15:51:11,2022-11-28 15:51:11,0.000s,PASSED
response_searchME_kons = reqid_kons,,store var to global variable,,2022-11-28 15:51:11,2022-11-28 15:51:11,0.000s,PASSED
response_searchME_spouse = reqid_spouse,,,,2022-11-28 15:51:11,2022-11-28 15:51:11,0.000s,PASSED
"println(""kons req id is :"" + response_searchME_kons)",,,,2022-11-28 15:51:11,2022-11-28 15:51:11,0.000s,PASSED
"println(""spouse req id is : "" + response_searchME_spouse)",,,,2022-11-28 15:51:11,2022-11-28 15:51:11,0.000s,PASSED
"verifyResponseStatusCode(req_data, 200)",,verify response status code,,2022-11-28 15:51:11,2022-11-28 15:51:11,0.000s,PASSED
response = req_data.getResponseText(),,show response to report in test suite,,2022-11-28 15:51:11,2022-11-28 15:51:11,0.000s,PASSED
logInfo($response),,,,2022-11-28 15:51:11,2022-11-28 15:51:11,0.000s,PASSED
delay(5),,,,2022-11-28 15:51:11,2022-11-28 15:51:16,5.017s,PASSED
"scoring = sendRequest(findTestObject(""EngineScore"", [""response_searchME_kons"":response_searchME_kons, ""response_searchME_spouse"":response_searchME_spouse]))",,Engine Scoring - inquiry scoring result from req_id,,2022-11-28 15:51:16,2022-11-28 15:51:17,0.123s,PASSED
"verifyResponseStatusCode(scoring, 200)",,verify response status code,,2022-11-28 15:51:17,2022-11-28 15:51:17,0.000s,PASSED
response2 = scoring.getResponseText(),,show response to report in test suite,,2022-11-28 15:51:17,2022-11-28 15:51:17,0.000s,PASSED
"markPassed(""result service data ke : "" + no)",,,,2022-11-28 15:51:17,2022-11-28 15:51:17,0.000s,PASSED
logInfo($response2),,,,2022-11-28 15:51:17,2022-11-28 15:51:17,0.000s,PASSED
"verifyElementPropertyValue(scoring, ""Final_result"", final_result)",,verify final result scoring,,2022-11-28 15:51:17,2022-11-28 15:51:17,0.016s,PASSED
,,,,,,,
Test Cases/Engine_Scoring/Engine Scoring,,,,2022-11-28 15:51:17,2022-11-28 15:51:23,6.557s,PASSED
"markPassed(""Variasi data ke : "" + no)",,,,2022-11-28 15:51:17,2022-11-28 15:51:17,0.000s,PASSED
"req_data = sendRequest(findTestObject(""Search_ME"", [""MID"":MID, ""source"":source, ""ip"":ip, ""userid"":userid, ""branch"":branch, ""tipekons"":tipekons, ""marital"":marital, ""penjamin"":penjamin, ... ]))",,data ME for scoring request,,2022-11-28 15:51:17,2022-11-28 15:51:18,0.693s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-11-28 15:51:18,2022-11-28 15:51:18,0.000s,PASSED
result = slurper.parseText(req_data.getResponseBodyContent()),,,,2022-11-28 15:51:18,2022-11-28 15:51:18,0.001s,PASSED
reqid_kons = requestid1,,,,2022-11-28 15:51:18,2022-11-28 15:51:18,0.000s,PASSED
reqid_spouse = requestid2,,,,2022-11-28 15:51:18,2022-11-28 15:51:18,0.000s,PASSED
"println(""requestid kons : "" + reqid_kons)",,,,2022-11-28 15:51:18,2022-11-28 15:51:18,0.000s,PASSED
response_searchME_kons = reqid_kons,,store var to global variable,,2022-11-28 15:51:18,2022-11-28 15:51:18,0.000s,PASSED
response_searchME_spouse = reqid_spouse,,,,2022-11-28 15:51:18,2022-11-28 15:51:18,0.000s,PASSED
"println(""kons req id is :"" + response_searchME_kons)",,,,2022-11-28 15:51:18,2022-11-28 15:51:18,0.000s,PASSED
"println(""spouse req id is : "" + response_searchME_spouse)",,,,2022-11-28 15:51:18,2022-11-28 15:51:18,0.000s,PASSED
"verifyResponseStatusCode(req_data, 200)",,verify response status code,,2022-11-28 15:51:18,2022-11-28 15:51:18,0.000s,PASSED
response = req_data.getResponseText(),,show response to report in test suite,,2022-11-28 15:51:18,2022-11-28 15:51:18,0.000s,PASSED
logInfo($response),,,,2022-11-28 15:51:18,2022-11-28 15:51:18,0.000s,PASSED
delay(5),,,,2022-11-28 15:51:18,2022-11-28 15:51:23,5.014s,PASSED
"scoring = sendRequest(findTestObject(""EngineScore"", [""response_searchME_kons"":response_searchME_kons, ""response_searchME_spouse"":response_searchME_spouse]))",,Engine Scoring - inquiry scoring result from req_id,,2022-11-28 15:51:23,2022-11-28 15:51:23,0.082s,PASSED
"verifyResponseStatusCode(scoring, 200)",,verify response status code,,2022-11-28 15:51:23,2022-11-28 15:51:23,0.000s,PASSED
response2 = scoring.getResponseText(),,show response to report in test suite,,2022-11-28 15:51:23,2022-11-28 15:51:23,0.000s,PASSED
"markPassed(""result service data ke : "" + no)",,,,2022-11-28 15:51:23,2022-11-28 15:51:23,0.000s,PASSED
logInfo($response2),,,,2022-11-28 15:51:23,2022-11-28 15:51:23,0.000s,PASSED
"verifyElementPropertyValue(scoring, ""Final_result"", final_result)",,verify final result scoring,,2022-11-28 15:51:23,2022-11-28 15:51:23,0.016s,PASSED
,,,,,,,
Test Cases/Engine_Scoring/Engine Scoring,,,,2022-11-28 15:51:23,2022-11-28 15:51:30,6.628s,PASSED
"markPassed(""Variasi data ke : "" + no)",,,,2022-11-28 15:51:24,2022-11-28 15:51:24,0.000s,PASSED
"req_data = sendRequest(findTestObject(""Search_ME"", [""MID"":MID, ""source"":source, ""ip"":ip, ""userid"":userid, ""branch"":branch, ""tipekons"":tipekons, ""marital"":marital, ""penjamin"":penjamin, ... ]))",,data ME for scoring request,,2022-11-28 15:51:24,2022-11-28 15:51:25,0.693s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-11-28 15:51:25,2022-11-28 15:51:25,0.000s,PASSED
result = slurper.parseText(req_data.getResponseBodyContent()),,,,2022-11-28 15:51:25,2022-11-28 15:51:25,0.000s,PASSED
reqid_kons = requestid1,,,,2022-11-28 15:51:25,2022-11-28 15:51:25,0.000s,PASSED
reqid_spouse = requestid2,,,,2022-11-28 15:51:25,2022-11-28 15:51:25,0.000s,PASSED
"println(""requestid kons : "" + reqid_kons)",,,,2022-11-28 15:51:25,2022-11-28 15:51:25,0.000s,PASSED
response_searchME_kons = reqid_kons,,store var to global variable,,2022-11-28 15:51:25,2022-11-28 15:51:25,0.000s,PASSED
response_searchME_spouse = reqid_spouse,,,,2022-11-28 15:51:25,2022-11-28 15:51:25,0.000s,PASSED
"println(""kons req id is :"" + response_searchME_kons)",,,,2022-11-28 15:51:25,2022-11-28 15:51:25,0.000s,PASSED
"println(""spouse req id is : "" + response_searchME_spouse)",,,,2022-11-28 15:51:25,2022-11-28 15:51:25,0.000s,PASSED
"verifyResponseStatusCode(req_data, 200)",,verify response status code,,2022-11-28 15:51:25,2022-11-28 15:51:25,0.000s,PASSED
response = req_data.getResponseText(),,show response to report in test suite,,2022-11-28 15:51:25,2022-11-28 15:51:25,0.000s,PASSED
logInfo($response),,,,2022-11-28 15:51:25,2022-11-28 15:51:25,0.000s,PASSED
delay(5),,,,2022-11-28 15:51:25,2022-11-28 15:51:30,5.008s,PASSED
"scoring = sendRequest(findTestObject(""EngineScore"", [""response_searchME_kons"":response_searchME_kons, ""response_searchME_spouse"":response_searchME_spouse]))",,Engine Scoring - inquiry scoring result from req_id,,2022-11-28 15:51:30,2022-11-28 15:51:30,0.214s,PASSED
"verifyResponseStatusCode(scoring, 200)",,verify response status code,,2022-11-28 15:51:30,2022-11-28 15:51:30,0.000s,PASSED
response2 = scoring.getResponseText(),,show response to report in test suite,,2022-11-28 15:51:30,2022-11-28 15:51:30,0.000s,PASSED
"markPassed(""result service data ke : "" + no)",,,,2022-11-28 15:51:30,2022-11-28 15:51:30,0.000s,PASSED
logInfo($response2),,,,2022-11-28 15:51:30,2022-11-28 15:51:30,0.000s,PASSED
"verifyElementPropertyValue(scoring, ""Final_result"", final_result)",,verify final result scoring,,2022-11-28 15:51:30,2022-11-28 15:51:30,0.010s,PASSED
,,,,,,,
Test Cases/Engine_Scoring/Engine Scoring,,,,2022-11-28 15:51:30,2022-11-28 15:51:37,6.738s,PASSED
"markPassed(""Variasi data ke : "" + no)",,,,2022-11-28 15:51:31,2022-11-28 15:51:31,0.012s,PASSED
"req_data = sendRequest(findTestObject(""Search_ME"", [""MID"":MID, ""source"":source, ""ip"":ip, ""userid"":userid, ""branch"":branch, ""tipekons"":tipekons, ""marital"":marital, ""penjamin"":penjamin, ... ]))",,data ME for scoring request,,2022-11-28 15:51:31,2022-11-28 15:51:32,0.843s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-11-28 15:51:32,2022-11-28 15:51:32,0.000s,PASSED
result = slurper.parseText(req_data.getResponseBodyContent()),,,,2022-11-28 15:51:32,2022-11-28 15:51:32,0.000s,PASSED
reqid_kons = requestid1,,,,2022-11-28 15:51:32,2022-11-28 15:51:32,0.000s,PASSED
reqid_spouse = requestid2,,,,2022-11-28 15:51:32,2022-11-28 15:51:32,0.000s,PASSED
"println(""requestid kons : "" + reqid_kons)",,,,2022-11-28 15:51:32,2022-11-28 15:51:32,0.000s,PASSED
response_searchME_kons = reqid_kons,,store var to global variable,,2022-11-28 15:51:32,2022-11-28 15:51:32,0.000s,PASSED
response_searchME_spouse = reqid_spouse,,,,2022-11-28 15:51:32,2022-11-28 15:51:32,0.000s,PASSED
"println(""kons req id is :"" + response_searchME_kons)",,,,2022-11-28 15:51:32,2022-11-28 15:51:32,0.000s,PASSED
"println(""spouse req id is : "" + response_searchME_spouse)",,,,2022-11-28 15:51:32,2022-11-28 15:51:32,0.000s,PASSED
"verifyResponseStatusCode(req_data, 200)",,verify response status code,,2022-11-28 15:51:32,2022-11-28 15:51:32,0.000s,PASSED
response = req_data.getResponseText(),,show response to report in test suite,,2022-11-28 15:51:32,2022-11-28 15:51:32,0.000s,PASSED
logInfo($response),,,,2022-11-28 15:51:32,2022-11-28 15:51:32,0.000s,PASSED
delay(5),,,,2022-11-28 15:51:32,2022-11-28 15:51:37,5.015s,PASSED
"scoring = sendRequest(findTestObject(""EngineScore"", [""response_searchME_kons"":response_searchME_kons, ""response_searchME_spouse"":response_searchME_spouse]))",,Engine Scoring - inquiry scoring result from req_id,,2022-11-28 15:51:37,2022-11-28 15:51:37,0.112s,PASSED
"verifyResponseStatusCode(scoring, 200)",,verify response status code,,2022-11-28 15:51:37,2022-11-28 15:51:37,0.000s,PASSED
response2 = scoring.getResponseText(),,show response to report in test suite,,2022-11-28 15:51:37,2022-11-28 15:51:37,0.000s,PASSED
"markPassed(""result service data ke : "" + no)",,,,2022-11-28 15:51:37,2022-11-28 15:51:37,0.000s,PASSED
logInfo($response2),,,,2022-11-28 15:51:37,2022-11-28 15:51:37,0.000s,PASSED
"verifyElementPropertyValue(scoring, ""Final_result"", final_result)",,verify final result scoring,,2022-11-28 15:51:37,2022-11-28 15:51:37,0.015s,PASSED
,,,,,,,
Test Cases/Engine_Scoring/Engine Scoring,,,,2022-11-28 15:51:37,2022-11-28 15:51:43,6.603s,PASSED
"markPassed(""Variasi data ke : "" + no)",,,,2022-11-28 15:51:37,2022-11-28 15:51:37,0.000s,PASSED
"req_data = sendRequest(findTestObject(""Search_ME"", [""MID"":MID, ""source"":source, ""ip"":ip, ""userid"":userid, ""branch"":branch, ""tipekons"":tipekons, ""marital"":marital, ""penjamin"":penjamin, ... ]))",,data ME for scoring request,,2022-11-28 15:51:37,2022-11-28 15:51:38,0.703s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-11-28 15:51:38,2022-11-28 15:51:38,0.000s,PASSED
result = slurper.parseText(req_data.getResponseBodyContent()),,,,2022-11-28 15:51:38,2022-11-28 15:51:38,0.000s,PASSED
reqid_kons = requestid1,,,,2022-11-28 15:51:38,2022-11-28 15:51:38,0.000s,PASSED
reqid_spouse = requestid2,,,,2022-11-28 15:51:38,2022-11-28 15:51:38,0.000s,PASSED
"println(""requestid kons : "" + reqid_kons)",,,,2022-11-28 15:51:38,2022-11-28 15:51:38,0.000s,PASSED
response_searchME_kons = reqid_kons,,store var to global variable,,2022-11-28 15:51:38,2022-11-28 15:51:38,0.000s,PASSED
